title,price,location,full_address,bedrooms,bathrooms,property_type,project_name,offer_type,construction_year,parking_spaces,ownership_type,floor_area,floor,condition,project_link,publish_date,publish_by,latitude,longitude
"FOR SALE! Fully Furnished 1BR Unit in The Florence McKinley 2, Taguig City","₱ 13,000,000","Bagong Tanyag, Taguig","The Florence Residence, Bagong Tanyag, Taguig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Florence Residence,For Sale,,1,,45 sqm,7,Fully furnished,https://www.lamudi.com.ph/projects/41032-73-6152b798d155-370b-3a115c58-8dc3-4cde,"1 week, 6 days ago",Seatherny Real Estate,14.4773218,121.0485599
Shang Summit Penthouse unit with for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP Morato Scout Area,"₱ 177,073,785","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",5 bedrooms,5 bathrooms,Penthouse,Shang Summit,For Sale,2030,3,Freehold,489 sqm,80,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-9409b20c227f-c3c6-10a69844-96ea-425d,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Best Penthouse unit in Quezon City by Shang Properties Shang Summit near Subway MRT Schools Malls Universities Hospitals Offices and Solaire,"₱ 153,798,888","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",5 bedrooms,5 bathrooms,Penthouse,Shang Summit,For Sale,,3,Freehold,435 sqm,80,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
For Sale Penthouse Residences Shang Summit in Quezon City by Shangrila,"₱ 195,999,999","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",5 bedrooms,5 bathrooms,Penthouse,Shang Summit,For Sale,,3,Freehold,521 sqm,80,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit Penthouse unit with for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP Morato Scout Area,"₱ 175,898,877","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",5 bedrooms,5 bathrooms,Penthouse,Shang Summit,For Sale,,3,Freehold,489 sqm,80,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Best 3 Bedroom unit with 2 parking in Quezon City by Shang Properties Shang Summit near Subway MRT Schools Malls Universities Hospitals Offices,"₱ 43,339,988","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",,,Condo,Shang Summit,For Sale,,2,Freehold,160 sqm,30,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit 3 Bedroom unit with 2 parking for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP Morato Scout Area,"₱ 43,278,111","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",,,Condo,Shang Summit,For Sale,,,Freehold,160 sqm,27,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
3 Bedroom for sale with 2 parking in Quezon City Shang Summit by Shang Properties,"₱ 43,013,999","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,Shang Summit,For Sale,,2,Freehold,160 sqm,25,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Best 2 Bedroom unit with 2 parking in Quezon City by Shang Properties Shang Summit near Subway MRT Schools Malls Universities Hospitals Offices,"₱ 29,888,888","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Shang Summit,For Sale,2030,2,Freehold,112 sqm,55,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit 2 Bedroom unit with 2 parking for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP Morato Scout Area,"₱ 31,000,000","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Shang Summit,For Sale,,2,Freehold,112 sqm,59,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit 2 Bedroom unit with 2 parking for sale at Quezon City,"₱ 30,138,799","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Shang Summit,For Sale,,2,Freehold,112 sqm,57,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit 2 Bedroom unit with parking for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP Morato Scout Area,"₱ 21,078,711","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Shang Summit,For Sale,2030,1,Freehold,89 sqm,14,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-9409b20c227f-c3c6-10a69844-96ea-425d,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit 1 Bedroom unit for Sale at Quezon City,"₱ 14,894,000","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Shang Summit,For Sale,,1,Freehold,59 sqm,53,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit 1 Bedroom unit for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP International School Morato Scout,"₱ 14,888,888","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Shang Summit,For Sale,,1,Freehold,59 sqm,55,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Best 1 Bedroom unit in Quezon City by Shang Properties Shang Summit near Subway MRT Schools Malls Universities Hospitals Offices and Solaire,"₱ 14,750,000","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Shang Summit,For Sale,,1,Freehold,59 sqm,51,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Best 1 Bedroom unit in Quezon City by Shang Properties Shang Summit near Subway MRT Schools Malls Universities Hospitals Offices and Solaire,"₱ 11,371,377","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Shang Summit,For Sale,,,Freehold,51 sqm,16,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-9409b20c227f-c3c6-10a69844-96ea-425d,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Best Studio unit in Quezon City by Shang Properties Shang Summit near Subway MRT Schools Malls Universities Hospitals Offices and Solaire,"₱ 8,350,000","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",,,Condo,Shang Summit,For Sale,,,Freehold,37 sqm,33,,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit Studio unit for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP International School Morato Scout,"₱ 8,275,888","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Shang Summit,For Sale,,,Freehold,37 sqm,35,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit Studio unit for Sale in Quezon City,"₱ 84,250,133","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Shang Summit,For Sale,,,Freehold,37 sqm,25,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-55f9522cee62-b00f-f5dd1f19-8321-4376,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Shang Summit Studio unit for sale in Quezon City near Vertis North Solaire Trinoma ABS CBN GMA UST St Lukes UP International School Morato Scout,"₱ 8,313,177","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",1 bedroom,,Condo,Shang Summit,For Sale,,,Freehold,37 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-9409b20c227f-c3c6-10a69844-96ea-425d,"1 week, 6 days ago",Alex Pangilinan,14.6362321,121.0395395
Resort Living 1BR Condo in C5 Pasig The Valeron Tower Dmci Homes,"₱ 8,926,000","Ugong, Pasig","The Valeron Tower, Ugong, Pasig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Valeron Tower,For Sale,,,Freehold,46 sqm,45,Partly furnished,https://www.lamudi.com.ph/projects/the-valeron-tower/,"1 week, 6 days ago",Wilver  Madarang,14.5820674,121.0769315
FULLY-FURNISHED 1-BEDROOM CONDO IN THE ICON RESIDENCES,"₱ 14,000,000","Fort Bonifacio, Taguig","The Icon Residences, Fort Bonifacio, Taguig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Icon Residences,For Sale,,,,61 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/the-icon-residences/,"1 week, 6 days ago",Rhonalyn Sinag,14.5494583,121.0442258
Prime 3-Bedroom Unit at One Wilson Square with Breathtaking Skyline Views,"₱ 17,964,600",Metro Manila,"One Wilson Square, Metro Manila, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,One Wilson Square,For Sale,2019,,,116 sqm,27,Unfurnished,https://www.lamudi.com.ph/projects/one-wilson-square-2/,"2 weeks, 14 hours ago",Genevieve Pernito,14.6009486,121.047602
3 Bedroom Unit Deluxe RENT TO OWN in One Wilson Square,"₱ 18,430,700",Metro Manila,"One Wilson Square, Metro Manila, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,One Wilson Square,For Sale,2019,,,116 sqm,26,Unfurnished,https://www.lamudi.com.ph/projects/one-wilson-square-2/,"2 weeks, 15 hours ago",Genevieve Pernito,14.6009486,121.047602
For Sale Three Bedroom Brand New Condo in Shang Residences at Wack Wack,"₱ 59,108,000","Pleasant Hills, Mandaluyong","Shang Residences Wack Wack, Pleasant Hills, Mandaluyong, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,Shang Residences Wack Wack,For Sale,,2,,232 sqm,5,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-e951a3a533c0-a2c0-a92d072-89b7-404e,"2 weeks, 1 day ago",Shiera Lining,14.58727,121.0484996
Brand New  Two Bedroom Condo Unit For Sale at Proscenium Rockwell Makati,"₱ 47,000,000","Guadalupe Viejo, Makati","Proscenium at Rockwell, Guadalupe Viejo, Makati, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Proscenium at Rockwell,For Sale,,1,Freehold,121 sqm,35,Partly furnished,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,"2 weeks, 1 day ago",Shiera Lining,14.5661112,121.0387092
"SUPER RUSH SALE-2BR in Grand Hyatt Residences,BGC","₱ 36,500,000","Fort Bonifacio, Taguig","GRAND HYATT RESIDENCES, Fort Bonifacio, Taguig, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,GRAND HYATT RESIDENCES,For Sale,,1,Freehold,104 sqm,19,,https://www.lamudi.com.ph/projects/41032-73-6e3a55be157-1c0e-8b043f90-8370-4953,"2 weeks, 1 day ago",Property PH,14.5575286,121.052148
