project_name,location,location_map,location_match,location_corrected
Asteria Residences,"Parañaque, Metro Manila","San Isidro, Parañaque, Metro Manila",TRUE,
Mirea Residences,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",TRUE,
Zinnia Towers,"Quezon City, Metro Manila","Katipunan, Quezon City, Metro Manila",TRUE,
Viera Residences,"Quezon City, Metro Manila","Obrero, Quezon City, Metro Manila",TRUE,
Torre De Manila,"Manila, Metro Manila","Ermita, Manila, Metro Manila",TRUE,
Tivoli Garden Residences,"Mandaluyong, Metro Manila","Hulo, Mandaluyong, Metro Manila",TRUE,
The Amaryllis,"Quezon City, Metro Manila","Mariana, Quezon City, Metro Manila",TRUE,
Stellar Place,"Quezon City, Metro Manila","Bahay Toro, Quezon City, Metro Manila",TRUE,
Sorrel Residences,"Quezon City, Metro Manila","Manila, Metro Manila",FALSE,"Sampaloc, Manila, Metro Manila"
Sheridan Towers,"Mandaluyong, Metro Manila","Buayang Bato, Mandaluyong, Metro Manila",TRUE,
Viridian in Greenhills,"San Juan, Metro Manila","Greenhills, San Juan, Metro Manila",TRUE,
Rhapsody Residences,"Muntinlupa, Metro Manila","Buli, Muntinlupa, Metro Manila",TRUE,
One Castilla Place,"Quezon City, Metro Manila","Pasong Tamo, Quezon City, Metro Manila",TRUE,
Grand Riviera Suites,"Manila, Metro Manila","Ermita, Manila, Metro Manila",TRUE,
Lumiere Residences,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
La Verti Residences,"Pasay, Metro Manila","Pasay, Metro Manila",TRUE,
Illumina Residences Manila,"Manila, Metro Manila","Santa Mesa, Manila, Metro Manila",TRUE,
Flair Towers,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
Brio Tower,"Makati, Metro Manila","Guadalupe Viejo, Makati, Metro Manila",TRUE,
Verawood Residences,"Taguig, Metro Manila","Bambang, Taguig, Metro Manila",TRUE,
Ivory Wood,"Taguig, Metro Manila","Bambang, Taguig, Metro Manila",TRUE,
Royal Palm Residences,"Taguig, Metro Manila","Ususan, Taguig, Metro Manila",TRUE,
W.H. Taft Residences,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
The Birchwood,"Taguig, Metro Manila","Ususan, Taguig, Metro Manila",TRUE,
Anuva,"Muntinlupa, Metro Manila","Sucat, Muntinlupa, Metro Manila",TRUE,
The Manila Residences Bocobo,"Manila, Metro Manila","Ermita, Manila, Metro Manila",TRUE,
The Manila Residences Tower II,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
The Manila Residences Tower I,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Mandaluyong Executive Mansion III,"Mandaluyong, Metro Manila","Namayan, Mandaluyong, Metro Manila",TRUE,
Grand Central Residences Tower I,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
Pines Peak Tower I,"Mandaluyong, Metro Manila","Highway Hills, Mandaluyong, Metro Manila",TRUE,
North Residences,"Quezon City, Metro Manila","Veterans Village, Quezon City, Metro Manila",TRUE,
Windsor Mansion,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",TRUE,
Brentwood Mansion,"Pasig, Metro Manila","Santolan, Pasig, Metro Manila",TRUE,
Grand Emerald Tower,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
Makati Executive Tower IV,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
Makati Executive Tower III,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
Orchard Towers,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
Neopolitan Condominiums,"Quezon City, Metro Manila","Fairview, Quezon City, Metro Manila",TRUE,
Garden Towers,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
East Gallery Place,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
East Bel-Air Residences,"Manila, Metro Manila","Tondo, Manila, Metro Manila",TRUE,
Grand Residences España 2,"Manila, Metro Manila","Manila, Metro Manila",TRUE,
Sky Villas,"Quezon City, Metro Manila","Kaunlaran, Quezon City, Metro Manila",TRUE,
Park Terraces,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
Al Khor Town Homes,"San Juan, Metro Manila","Batis, San Juan, Metro Manila",TRUE,
Avida Towers BGC 9TH Avenue,"Taguig, Metro Manila","Metro Manila, Taguig",FALSE,"Taguig, Metro Manila"
Lancris Residences,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila",TRUE,
Avida Towers Altura,"Muntinlupa, Metro Manila","Metro Manila, Muntinlupa, Alabang",FALSE,"Muntinlupa, Metro Manila"
Avida Towers Alabang,"Muntinlupa, Metro Manila","Metro Manila, Muntinlupa, Alabang",FALSE,"Muntinlupa, Metro Manila"
Avida Towers 34th Street,"Taguig, Metro Manila","Metro Manila, Taguig",FALSE,"Taguig, Metro Manila"
Avida Cityflex Towers BGC,"Taguig, Metro Manila","Metro Manila, Taguig, BGC",FALSE,"Taguig, Metro Manila"
101 Newport BLVD,"Manila, Metro Manila","Barangay 183, Pasay, Metro Manila",FALSE,"Pasay, Metro Manila"
Noble Place,"Manila, Metro Manila","Binondo, Manila, Metro Manila",TRUE,
150 Newport BLVD,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila",TRUE,
