project_name,location,full_address,latitude,longitude
GOLFHILL GARDENS,"Ramon Magsaysay, Quezon City, Metro Manila","GOLFHILL GARDENS, Ramon Magsaysay, Quezon City, Metro Manila, Philippines",14.6677675,121.0827899
Avida Towers Astrea,"Metro Manila, Quezon City, Fairview","Avida Towers Astrea, Metro Manila, Quezon City, Fairview, Philippines",14.6992403,121.065041
Bay Garden,"Barangay 76, Pasay, Metro Manila","Bay Garden, Barangay 76, Pasay, Metro Manila, Philippines",14.5410495,120.9903294
Escalades East Tower,"Pasong Tamo, Quezon City, Metro Manila","Escalades East Tower, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6252291,121.0609035
The Parkside Villas,"Barangay 183, Pasay, Metro Manila","The Parkside Villas, Barangay 183, Pasay, Metro Manila, Philippines",14.5193052,121.0206069
Trees Residences,"Kaligayahan, Quezon City, Metro Manila","Trees Residences, Kaligayahan, Quezon City, Metro Manila, Philippines",14.7380272,121.0478433
Sun Residences,"Salvacion, Quezon City, Metro Manila","Sun Residences, Salvacion, Quezon City, Metro Manila, Philippines",14.6262261,120.9940847
Shore Residences,"Barangay 76, Pasay, Metro Manila","Shore Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5413669,120.9853729
Shine Residences,"Ugong, Pasig, Metro Manila","Shine Residences, Ugong, Pasig, Metro Manila, Philippines",14.5821946,121.0650672
Shell Residences,"Barangay 76, Pasay, Metro Manila","Shell Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5368863,120.9864432
Mezza 2 Residences,"Doña Imelda, Quezon City, Metro Manila","Mezza 2 Residences, Doña Imelda, Quezon City, Metro Manila, Philippines",14.6067555,121.0187558
M Place Residences,"South Triangle, Quezon City, Metro Manila","M Place Residences, South Triangle, Quezon City, Metro Manila, Philippines",14.639805,121.0330963
Princeton Residences,"Mariana, Quezon City, Metro Manila","Princeton Residences, Mariana, Quezon City, Metro Manila, Philippines",14.6133,121.034078
Sea Residences SMDC,"Barangay 76, Pasay, Metro Manila","Sea Residences SMDC, Barangay 76, Pasay, Metro Manila, Philippines",14.5336103,120.9862683
Mezza Residences,"Kaunlaran, Quezon City, Metro Manila","Mezza Residences, Kaunlaran, Quezon City, Metro Manila, Philippines",14.6178933,121.0464101
Light Residences,"Addition Hills, Mandaluyong, Metro Manila","Light Residences, Addition Hills, Mandaluyong, Metro Manila, Philippines",14.5829437,121.0378102
Grace Residences,"Bagong Tanyag, Taguig, Metro Manila","Grace Residences, Bagong Tanyag, Taguig, Metro Manila, Philippines",14.4773218,121.0485599
Chateau Residences,"Don Bosco, Parañaque, Metro Manila","Chateau Residences, Don Bosco, Parañaque, Metro Manila, Philippines",14.4874747,121.0211725
Breeze Residences,"Barangay 76, Pasay, Metro Manila","Breeze Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5451838,120.9924823
Times Square West,"BGC, Taguig, Metro Manila","Times Square West, BGC, Taguig, Metro Manila, Philippines",14.5596081,121.0516897
Madison Park,"Bagong Tanyag, Taguig, Metro Manila","Madison Park, Bagong Tanyag, Taguig, Metro Manila, Philippines",14.4773218,121.0485599
One Wilson Square,"Greenhills, San Juan, Metro Manila","One Wilson Square, Greenhills, San Juan, Metro Manila, Philippines",14.6009486,121.047602
