REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,University of Makati,LUC,Metro Manila,City of Taguig,"University of Makati, City of Taguig",university of makati city of taguig metro manila philippines,,14.5633428,121.0565387,google,"Dr Jose P. Rizal Ext, West Rembo, Makati City, 1644 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Pasig Catholic College,Private,Metro Manila,City of Pasig,"Pasig Catholic College, City of Pasig",pasig catholic college city of pasig metro manila philippines,,14.5600259,121.0767141,google,"Plaza Rizal, Justice Ramon Jabson, Pasig, 1600 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,PATTS College of Aeronautics,Private,Metro Manila,City of Parañaque,"PATTS College of Aeronautics, City of Parañaque",patts college of aeronautics city of paranaque metro manila philippines,,14.4746333,121.006275,google,"F2F4+VG2, Lombos St, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Perpetual Help College of Manila,Private,Metro Manila,City of Manila,"Perpetual Help College of Manila, City of Manila",perpetual help college of manila city of manila metro manila philippines,,14.6126069,120.9879594,google,"1240 Concepcion St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of Perpetual Help System Dalta,Private,Metro Manila,City of Las Piñas,"University of Perpetual Help System Dalta, City of Las Piñas",university of perpetual help system dalta city of las pinas metro manila philippines,,14.4507963,120.985415,google,"Alabang–Zapote Rd, Las Piñas, 1740 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Philippine Dominican Center of Institutional Studies,Private,Metro Manila,Quezon City,"Philippine Dominican Center of Institutional Studies, Quezon City",philippine dominican center of institutional studies quezon city metro manila philippines,,14.6255708,121.0096618,google,"J2G5+6VF, Biak na Bato, Quezon City, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Philippine Christian University,Private,Metro Manila,City of Manila,"Philippine Christian University, City of Manila",philippine christian university city of manila metro manila philippines,,14.5760244,120.9886873,google,"1648 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Philippine College of Criminology,Private,Metro Manila,City of Manila,"Philippine College of Criminology, City of Manila",philippine college of criminology city of manila metro manila philippines,,14.60159,120.982942,google,"641 Sales St, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Philippine College of Health Sciences,Private,Metro Manila,City of Manila,"Philippine College of Health Sciences, City of Manila",philippine college of health sciences city of manila metro manila philippines,,14.6031808,120.9854244,google,"1813 Recto Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,St. Louis College-Valenzuela,Private,Metro Manila,City of Valenzuela,"St. Louis College-Valenzuela, City of Valenzuela",street. louis college-valenzuela city of valenzuela metro manila philippines,"St. Louis College-Valenzuela, City of Valenzuela, Metro Manila, Philippines",14.696151,120.9715312,google,"1443 Maysan Rd, Valenzuela, Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,Philippine Law School,Private,Metro Manila,,"Philippine Law School, ",philippine law school metro manila philippines,,14.5558184,120.9960263,google,"1942 Donada St Corner San Juan St, Pasay City, 1300 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Philippine Merchant Marine School-Manila,Private,Metro Manila,City of Manila,"Philippine Merchant Marine School-Manila, City of Manila",philippine merchant marine school-manila city of manila metro manila philippines,,14.6067306,120.9819275,google,"1571 Lope de Vega St, Santa Cruz, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Philippine Merchant Marine School-Las Piñas,Private,Metro Manila,City of Las Piñas,"Philippine Merchant Marine School-Las Piñas, City of Las Piñas",philippine merchant marine school-las pinas city of las pinas metro manila philippines,"Philippine Merchant Marine School-Las Piñas, City of Las Piñas, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Philippine Normal University-Main,SUC,Metro Manila,City of Manila,"Philippine Normal University-Main, City of Manila",philippine normal university-main city of manila metro manila philippines,"Philippine Normal University-Main, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Philippine School of Business Administration-Quezon City,Private,Metro Manila,Quezon City,"Philippine School of Business Administration-Quezon City, Quezon City",philippine school of business administration-quezon city quezon city metro manila philippines,,14.6295681,121.0731431,google,"1029, J3HF+Q6R, Aurora Blvd, Quezon City, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Philippine School of Business Administration-Manila,Private,Metro Manila,City of Manila,"Philippine School of Business Administration-Manila, City of Manila",philippine school of business administration-manila city of manila metro manila philippines,,14.6295681,121.0731431,google,"1029, J3HF+Q6R, Aurora Blvd, Quezon City, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Philippine State College of Aeronautics-Main,SUC,Metro Manila,Pasay City,"Philippine State College of Aeronautics-Main, Pasay City",philippine state college of aeronautics-main pasay city metro manila philippines,"Philippine State College of Aeronautics-Main, Pasay City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,The Philippine Women's University-Manila,Private,Metro Manila,City of Manila,"The Philippine Women's University-Manila, City of Manila",the philippine women's university-manila city of manila metro manila philippines,"The Philippine Women's University-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,PHILSIN College Foundation,Private,Metro Manila,City of Manila,"PHILSIN College Foundation, City of Manila",philsin college foundation city of manila metro manila philippines,,14.6017565,121.0029375,google,"3153 R. Magsaysay Blvd Sta. Mesa, 628, Manila, 1016 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,PMI Colleges-Manila,Private,Metro Manila,City of Manila,"PMI Colleges-Manila, City of Manila",pmi colleges-manila city of manila metro manila philippines,,14.5996494,120.9785156,google,"419 Burke St, Binondo, Manila, 1006 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,PMI Colleges-Quezon City,Private,Metro Manila,Quezon City,"PMI Colleges-Quezon City, Quezon City",pmi colleges-quezon city quezon city metro manila philippines,,14.6341129,121.0177614,google,"73 Fernando Poe Jr. Ave, Quezon City, 1104 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Polytechnic University of the Philippines,SUC,Metro Manila,City of Manila,"Polytechnic University of the Philippines, City of Manila",polytechnic university of the philippines city of manila metro manila philippines,,14.6010911,121.001702,google,"Polytechnic University of the Philippines, Santa Mesa, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Polytechnic University of the Philippines-San Juan Campus,SUC,Metro Manila,City of San Juan,"Polytechnic University of the Philippines-San Juan Campus, City of San Juan",polytechnic university of the philippines-san juan campus city of san juan metro manila philippines,"Polytechnic University of the Philippines-San Juan Campus, City of San Juan, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Polytechnic University of the Philippines-Parañaque Campus,SUC,Metro Manila,City of Parañaque,"Polytechnic University of the Philippines-Parañaque Campus, City of Parañaque",polytechnic university of the philippines-paranaque campus city of paranaque metro manila philippines,"Polytechnic University of the Philippines-Parañaque Campus, City of Parañaque, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Polytechnic University of the Philippines-Taguig,SUC,Metro Manila,City of Taguig,"Polytechnic University of the Philippines-Taguig, City of Taguig",polytechnic university of the philippines-taguig city of taguig metro manila philippines,,14.4887593,121.0511705,google,"F3Q2+GF3, General Santos Ave, Taguig, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,World Citi Colleges-Quezon City,Private,Metro Manila,Quezon City,"World Citi Colleges-Quezon City, Quezon City",world citi colleges-quezon city quezon city metro manila philippines,,14.6269571,121.0636527,google,"960 Aurora Blvd, Bagong Buhay, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Makati Medical Center College,Private,Metro Manila,City of Makati,"Makati Medical Center College, City of Makati",makati medical center college city of makati metro manila philippines,"Makati Medical Center College, City of Makati, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Republican College,Private,Metro Manila,Quezon City,"Republican College, Quezon City",republican college quezon city metro manila philippines,,14.6159172,121.0636975,google,"42 18th Ave, Cubao, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Rizal Technological University,SUC,Metro Manila,City of Mandaluyong,"Rizal Technological University, City of Mandaluyong",rizal technological university city of mandaluyong metro manila philippines,,14.57459,121.042304,google,"Boni Ave, Mandaluyong City, 1550 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Roosevelt College-Marikina,Private,Metro Manila,City of Marikina,"Roosevelt College-Marikina, City of Marikina",roosevelt college-marikina city of marikina metro manila philippines,,14.6486812,121.0984813,google,"504 J. P. Rizal St, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Saint Francis of Assisi College,Private,Metro Manila,City of Las Piñas,"Saint Francis of Assisi College, City of Las Piñas",saint francis of assisi college city of las pinas metro manila philippines,"Saint Francis of Assisi College, City of Las Piñas, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,St. Joseph's College of Quezon City,Private,Metro Manila,Quezon City,"St. Joseph's College of Quezon City, Quezon City",street. joseph's college of quezon city quezon city metro manila philippines,"St. Joseph's College of Quezon City, Quezon City, Metro Manila, Philippines",14.6224948,121.0254866,google,"295, 1102 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,St. Jude College,Private,Metro Manila,City of Manila,"St. Jude College, City of Manila",street. jude college city of manila metro manila philippines,"St. Jude College, City of Manila, Metro Manila, Philippines",14.6159141,120.9892979,google,"JX8Q+7Q5 Dimasalang cor, 1353 Don Quijote St, Sampaloc, Manila, 1008 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,St. Paul University-Manila,Private,Metro Manila,City of Manila,"St. Paul University-Manila, City of Manila",street. paul university-manila city of manila metro manila philippines,"St. Paul University-Manila, City of Manila, Metro Manila, Philippines",14.5741867,120.986106,google,"680 Pedro Gil St, Malate, Manila, 1004 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,St. Paul University-Quezon City,Private,Metro Manila,Quezon City,"St. Paul University-Quezon City, Quezon City",street. paul university-quezon city quezon city metro manila philippines,"St. Paul University-Quezon City, Quezon City, Metro Manila, Philippines",14.6145399,121.0351226,google,"Mariana, Quezon City, Metro Manila, Philippines",FALLBACK_FULL|GEOMETRIC_CENTER
13 - Nat. Capital Region,Saint Rita College-Manila,Private,Metro Manila,City of Manila,"Saint Rita College-Manila, City of Manila",saint rita college-manila city of manila metro manila philippines,,14.59948,120.98966,google,"74 San Rafael St, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,St. Scholastica's College,Private,Metro Manila,City of Manila,"St. Scholastica's College, City of Manila",street. scholastica's college city of manila metro manila philippines,"St. Scholastica's College, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Samson College of Science and Technology-Quezon City,Private,Metro Manila,Quezon City,"Samson College of Science and Technology-Quezon City, Quezon City",samson college of science and technology-quezon city quezon city metro manila philippines,"Samson College of Science and Technology-Quezon City, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,San Beda University,Private,Metro Manila,City of Manila,"San Beda University, City of Manila",san beda university city of manila metro manila philippines,,14.5997811,120.992938,google,"638 Mendiola St, San Miguel, Manila, 1005 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,San Carlos Seminary,Private,Metro Manila,City of Makati,"San Carlos Seminary, City of Makati",san carlos seminary city of makati metro manila philippines,"San Carlos Seminary, City of Makati, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,San Juan de Dios Educational Foundation,Private,Metro Manila,Pasay City,"San Juan de Dios Educational Foundation, Pasay City",san juan de dios educational foundation pasay city metro manila philippines,,14.5378892,120.9930321,google,"2774 Roxas Blvd, Pasay City, 1300 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,San Sebastian College-Recoletos,Private,Metro Manila,City of Manila,"San Sebastian College-Recoletos, City of Manila",san sebastian college-recoletos city of manila metro manila philippines,,14.6007856,120.9898838,google,"Recto Ave, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Santa Isabel College of Manila,Private,Metro Manila,City of Manila,"Santa Isabel College of Manila, City of Manila",santa isabel college of manila city of manila metro manila philippines,,14.5856083,120.9838713,google,"1004, 210 Taft Ave, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Siena College,Private,Metro Manila,Quezon City,"Siena College, Quezon City",siena college quezon city metro manila philippines,,14.6386832,121.0042622,google,"Cor 1105, Del Monte Ave, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Southeastern College,Private,Metro Manila,Pasay City,"Southeastern College, Pasay City",southeastern college pasay city metro manila philippines,,14.5504236,120.9992152,google,"328 College Road, Taft Ave, Pasay City, 1300 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Luke's College of Medicine-William H. Quasha Memorial,Private,Metro Manila,Quezon City,"St. Luke's College of Medicine-William H. Quasha Memorial, Quezon City",street. luke's college of medicine-william h. quasha memorial quezon city metro manila philippines,"St. Luke's College of Medicine-William H. Quasha Memorial, Quezon City, Metro Manila, Philippines",14.624009,121.023181,google,"279 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,Stella Maris College,Private,Metro Manila,Quezon City,"Stella Maris College, Quezon City",stella maris college quezon city metro manila philippines,,14.6246803,121.0534246,google,"891 Cambridge, Cubao, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Systems Plus Computer College-Quezon City,Private,Metro Manila,Quezon City,"Systems Plus Computer College-Quezon City, Quezon City",systems plus computer college-quezon city quezon city metro manila philippines,,14.6240624,121.0436065,google,"1707 E Rodriguez Sr. Ave, Cubao, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Technological Institute of the Philippines-Manila,Private,Metro Manila,City of Manila,"Technological Institute of the Philippines-Manila, City of Manila",technological institute of the philippines-manila city of manila metro manila philippines,,14.595315,120.987977,google,"363 Casal St, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Technological Institute of the Philippines-Quezon City,Private,Metro Manila,Quezon City,"Technological Institute of the Philippines-Quezon City, Quezon City",technological institute of the philippines-quezon city quezon city metro manila philippines,,14.6257638,121.0617218,google,"938 Aurora Blvd, Cubao, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Technological University of the Philippines-Manila,SUC,Metro Manila,City of Manila,"Technological University of the Philippines-Manila, City of Manila",technological university of the philippines-manila city of manila metro manila philippines,,14.587079,120.9844868,google,"San Marcelino St, Ayala Blvd, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Trinity University of Asia,Private,Metro Manila,Quezon City,"Trinity University of Asia, Quezon City",trinity university of asia quezon city metro manila philippines,,14.6214655,121.0219862,google,"Cathedral Heights, 275 E Rodriguez Sr. Ave, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Technological University of the Philippines-Taguig,SUC,Metro Manila,City of Taguig,"Technological University of the Philippines-Taguig, City of Taguig",technological university of the philippines-taguig city of taguig metro manila philippines,,14.5095836,121.0346429,google,"G25P+828, Taguig, 1630 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Unciano Colleges and General Hospital,Private,Metro Manila,City of Manila,"Unciano Colleges and General Hospital, City of Manila",unciano colleges and general hospital city of manila metro manila philippines,,14.6006206,121.0162,google,"V.Mapa-Guadalcanal Street, Manila, J228+6FW, Santa Mesa, Manila, Metropolitan Manila First District, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Southeast Asian College,Private,Metro Manila,Quezon City,"Southeast Asian College, Quezon City",southeast asian college quezon city metro manila philippines,,14.7236996,121.0400009,google,"#6 N. Ramirez St., Quezon City Quezon City NCR, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,University of the East-Ramon Magsaysay Memorial Medical Center,Private,Metro Manila,Quezon City,"University of the East-Ramon Magsaysay Memorial Medical Center, Quezon City",university of the east-ramon magsaysay memorial medical center quezon city metro manila philippines,,14.6077032,121.0203762,google,"64 Aurora Blvd, Quezon City, 1113 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,The University of Manila,Private,Metro Manila,City of Manila,"The University of Manila, City of Manila",the university of manila city of manila metro manila philippines,,14.6018224,120.9914994,google,"546 Delos Santos St, 403, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of Santo Tomas,Private,Metro Manila,City of Manila,"University of Santo Tomas, City of Manila",university of santo tomas city of manila metro manila philippines,,14.6098055,120.9895794,google,"España Blvd, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,University of the East-Manila,Private,Metro Manila,City of Manila,"University of the East-Manila, City of Manila",university of the east-manila city of manila metro manila philippines,,14.6022007,120.9897274,google,"2219 Recto Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of the East-Caloocan,Private,Metro Manila,City of Caloocan,"University of the East-Caloocan, City of Caloocan",university of the east-caloocan city of caloocan metro manila philippines,,14.6590026,120.9767809,google,"105 Samson Rd, Caloocan, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of the Philippines-Diliman,SUC,Metro Manila,Quezon City,"University of the Philippines-Diliman, Quezon City",university of the philippines-diliman quezon city metro manila philippines,,14.6538783,121.0684573,google,"M339+H94, Roxas Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,University of the Philippines-Manila,SUC,Metro Manila,City of Manila,"University of the Philippines-Manila, City of Manila",university of the philippines-manila city of manila metro manila philippines,,14.5777477,120.9853666,google,"Zone 72, 670 Padre Faura St, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Angelicum College,Private,Metro Manila,City of Manila,"Angelicum College, City of Manila",angelicum college city of manila metro manila philippines,,14.6276102,121.0100487,google,"112 Sen. Mariano J. Cuenco, Santa Mesa Heights, Quezon City, Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Universidad de Manila,LUC,Metro Manila,City of Manila,"Universidad de Manila, City of Manila",universidad de manila city of manila metro manila philippines,,14.5915659,120.9815705,google,"HXRJ+QJX, 659-A Cecilia Muñoz St, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Don Bosco Center of Studies,Private,Metro Manila,City of Parañaque,"Don Bosco Center of Studies, City of Parañaque",don bosco center of studies city of paranaque metro manila philippines,,14.4784703,121.0272822,google,"Michael Rua St., Better Living Subdivision, Parañaque, 1711 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,IETI College-Alabang,Private,Metro Manila,City of Muntinlupa,"IETI College-Alabang, City of Muntinlupa",ieti college-alabang city of muntinlupa metro manila philippines,,14.4181147,121.0459557,google,"Starmall Alabang Building, Starmall Starmall Service Road, Muntinlupa, 1780 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Our Lady of Perpetual 2cor College,Private,Metro Manila,City of Marikina,"Our Lady of Perpetual 2cor College, City of Marikina",our lady of perpetual 2cor college city of marikina metro manila philippines,"Our Lady of Perpetual 2cor College, City of Marikina, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,San Beda College-Alabang,Private,Metro Manila,City of Muntinlupa,"San Beda College-Alabang, City of Muntinlupa",san beda college-alabang city of muntinlupa metro manila philippines,,14.4330885,121.0255363,google,"8 Don Manolo Blvd, Muntinlupa, 1770 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,St. Dominic Savio College,Private,Metro Manila,City of Caloocan,"St. Dominic Savio College, City of Caloocan",street. dominic savio college city of caloocan metro manila philippines,"St. Dominic Savio College, City of Caloocan, Metro Manila, Philippines",14.761732,121.086409,google,"MT View Homes Pangarap, Blk 1 Lot 6 Quirino Hwy, 186 Tala, Caloocan, 1400 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,St. John Technological College of the Philippines,Private,Metro Manila,Quezon City,"St. John Technological College of the Philippines, Quezon City",street. john technological college of the philippines quezon city metro manila philippines,"St. John Technological College of the Philippines, Quezon City, Metro Manila, Philippines",14.7172639,121.0413488,google,"#29 Jewel St. Forest Hills Subdivision Gulod, Novaliches Quezon City, 1117 Metro Manila, Philippines",FALLBACK_FULL|GEOMETRIC_CENTER
13 - Nat. Capital Region,STI College-Alabang,Private,Metro Manila,City of Muntinlupa,"STI College-Alabang, City of Muntinlupa",sti college-alabang city of muntinlupa metro manila philippines,,14.4196875,121.0469399,google,"Montillano St, Muntinlupa, 1780 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,STI College-Cubao,Private,Metro Manila,Quezon City,"STI College-Cubao, Quezon City",sti college-cubao quezon city metro manila philippines,,14.6163908,121.0540568,google,"J383+HJ3, P. Tuazon Blvd, Cubao, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,STI College-Shaw,Private,Metro Manila,City of Manila,"STI College-Shaw, City of Manila",sti college-shaw city of manila metro manila philippines,,14.5766482,121.0592161,google,"25 Shaw Blvd, Ortigas Center, Pasig, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College-Global City,Private,Metro Manila,City of Taguig,"STI College-Global City, City of Taguig",sti college-global city city of taguig metro manila philippines,,14.55235,121.0560769,google,"STI Academic Center, University Pkwy, Makati City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College-Caloocan,Private,Metro Manila,City of Caloocan,"STI College-Caloocan, City of Caloocan",sti college-caloocan city of caloocan metro manila philippines,,14.657793,120.9768921,google,"109 Samson Rd, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College-Muñoz EDSA,Private,Metro Manila,Quezon City,"STI College-Muñoz EDSA, Quezon City",sti college-munoz edsa quezon city metro manila philippines,,14.6579425,121.0192197,google,"Tango Bldg, Congressional Avenue Corner Edsa Avenue, Ramon Magsasay, Quezon City, 1105 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College-Novaliches,Private,Metro Manila,Quezon City,"STI College-Novaliches, Quezon City",sti college-novaliches quezon city metro manila philippines,,14.704365,121.0367497,google,"Corner, Green Hights Subd, Quirino Hwy, Novaliches, Quezon City, 1116 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College-Fairview,Private,Metro Manila,Quezon City,"STI College-Fairview, Quezon City",sti college-fairview quezon city metro manila philippines,,14.7160003,121.0614864,google,"20-d Regalado Avenue, Corner Bronx, Quezon City, 651-8511 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,STI College Pasay-EDSA,Private,Metro Manila,City of Manila,"STI College Pasay-EDSA, City of Manila",sti college pasay-edsa city of manila metro manila philippines,,14.5382306,120.9969267,google,"2818 P. Celle, Pasay City, 1302 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Philippine Rehabilitation Institute Foundation,Private,Metro Manila,Quezon City,"Philippine Rehabilitation Institute Foundation, Quezon City",philippine rehabilitation institute foundation quezon city metro manila philippines,,14.6285457,121.0039377,google,"56 Banawe St, Quezon City, 1114 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Immaculada Concepcion College,Private,Metro Manila,City of Caloocan,"Immaculada Concepcion College, City of Caloocan",immaculada concepcion college city of caloocan metro manila philippines,,14.7677178,121.0797605,google,"Immaculada Concepcion College , Soldiers Hills III, Barangay, Caloocan, 1400 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,West Bay College,Private,Metro Manila,City of Muntinlupa,"West Bay College, City of Muntinlupa",west bay college city of muntinlupa metro manila philippines,,14.4166628,121.0493414,google,"Ilaya, 43 Ilaya, Muntinlupa, 1770 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,System Plus Computer College-Caloocan,Private,Metro Manila,City of Caloocan,"System Plus Computer College-Caloocan, City of Caloocan",system plus computer college-caloocan city of caloocan metro manila philippines,"System Plus Computer College-Caloocan, City of Caloocan, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Saint Bernadette College of Alabang,Private,Metro Manila,City of Muntinlupa,"Saint Bernadette College of Alabang, City of Muntinlupa",saint bernadette college of alabang city of muntinlupa metro manila philippines,,14.4249808,121.0460145,google,"Km. 23.6 E Service Rd, Muntinlupa, 1770 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Children of Mary Immaculate College,Private,Metro Manila,City of Caloocan,"Children of Mary Immaculate College, City of Caloocan",children of mary immaculate college city of caloocan metro manila philippines,,14.693962,120.967662,google,"22 Maysan Rd, Valenzuela, 1440 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Informatics College-Manila,Private,Metro Manila,City of Manila,"Informatics College-Manila, City of Manila",informatics college-manila city of manila metro manila philippines,"Informatics College-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,The Fisher Valley College,Private,Metro Manila,City of Taguig,"The Fisher Valley College, City of Taguig",the fisher valley college city of taguig metro manila philippines,,14.5167439,121.0729752,google,"No. 5, M. L. Quezon Avenue, Taguig, 1630 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,La Consolacion College-Novaliches,Private,Metro Manila,City of Caloocan,"La Consolacion College-Novaliches, City of Caloocan",la consolacion college-novaliches city of caloocan metro manila philippines,,14.7435168,121.0275747,google,"P2VH+C24, Rd Lot 1, Caloocan, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,National Defense College,OGS,Metro Manila,Quezon City,"National Defense College, Quezon City",national defense college quezon city metro manila philippines,,14.6092947,121.0679145,google,"J359+P57, Arturo Enrile Ave, Quezon City, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Philippine Public Safety College,OGS,Metro Manila,,"Philippine Public Safety College, ",philippine public safety college metro manila philippines,,14.6596593,121.0765003,google,"Lot 2, MWSS Compound, Tandang Sora Avenue, corner Mactan St., Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
