REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,Infotech College of Arts and Sciences Philippines,Private,Metro Manila,City of Marikina,"Infotech College of Arts and Sciences Philippines, City of Marikina",infotech college of arts and sciences philippines city of marikina metro manila philippines,"Infotech College of Arts and Sciences Philippines, City of Marikina, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Treston International College,Private,Metro Manila,City of Taguig,"Treston International College, City of Taguig",treston international college city of taguig metro manila philippines,,14.5516198,121.0586223,google,"University Parkway District, 32nd Street Corner, C-5, Makati City, 1634 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Access Computer and Technical Colleges-Lagro,Private,Metro Manila,Quezon City,"Access Computer and Technical Colleges-Lagro, Quezon City",access computer and technical colleges-lagro quezon city metro manila philippines,"Access Computer and Technical Colleges-Lagro, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,UBIX Institute of Technologies,Private,Metro Manila,City of Muntinlupa,"UBIX Institute of Technologies, City of Muntinlupa",ubix institute of technologies city of muntinlupa metro manila philippines,"UBIX Institute of Technologies, City of Muntinlupa, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,College of Divine Wisdom,Private,Metro Manila,City of Parañaque,"College of Divine Wisdom, City of Parañaque",college of divine wisdom city of paranaque metro manila philippines,,14.4896048,120.9949784,google,"FXQV+RXX, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Meridian International College of Business and Arts,Private,Metro Manila,City of Taguig,"Meridian International College of Business and Arts, City of Taguig",meridian international college of business and arts city of taguig metro manila philippines,,14.5344448,121.0523568,google,"1030 Campus Avenue, Taguig, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,La Consolacion College-Valenzuela,Private,Metro Manila,City of Valenzuela,"La Consolacion College-Valenzuela, City of Valenzuela",la consolacion college-valenzuela city of valenzuela metro manila philippines,,14.6880962,120.9649169,google,"MXQ7+6XM, St Jude Subdivision, Valenzuela, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,South SEED LPDH College,Private,Metro Manila,City of Las Piñas,"South SEED LPDH College, City of Las Piñas",south seed lpdh college city of las pinas metro manila philippines,,14.4547878,120.9950287,google,"BH Homes, Yokohama, Las Piñas, 1740 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Bethel Bible College of the Assemblies of God,Private,Metro Manila,City of Valenzuela,"Bethel Bible College of the Assemblies of God, City of Valenzuela",bethel bible college of the assemblies of god city of valenzuela metro manila philippines,"Bethel Bible College of the Assemblies of God, City of Valenzuela, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Christ the King College of Science and Technology,Private,Metro Manila,City of Muntinlupa,"Christ the King College of Science and Technology, City of Muntinlupa",christ the king college of science and technology city of muntinlupa metro manila philippines,,14.3971852,121.0470678,google,"Jaysonsville II,, 92WW+VRG, Muntinlupa, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Colegio de San Gabriel Archangel of Caloocan,Private,Metro Manila,City of Caloocan,"Colegio de San Gabriel Archangel of Caloocan, City of Caloocan",colegio de san gabriel archangel of caloocan city of caloocan metro manila philippines,,14.7805446,121.0356279,google,"Block 1 Lots 1-5 Phase 10 Package 6 Brgy. 176 Bagong Silang, Caloocan, 1428 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Vincent de Ferrer College of Camarin,Private,Metro Manila,City of Caloocan,"St. Vincent de Ferrer College of Camarin, City of Caloocan",street. vincent de ferrer college of camarin city of caloocan metro manila philippines,"St. Vincent de Ferrer College of Camarin, City of Caloocan, Metro Manila, Philippines",14.7570902,121.0595478,google,"Area D, SVFC Compound, San Vincente Ferrer St, Brgy 178 Camarin, Caloocan, 1400 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,Datamex College of Saint Adeline-Fairview,Private,Metro Manila,Quezon City,"Datamex College of Saint Adeline-Fairview, Quezon City",datamex college of saint adeline-fairview quezon city metro manila philippines,,14.705327,121.0778961,google,"85 Commonwealth Ave, Greater Fairview, Quezon City, 1118 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Computer Studies-Bicutan,Private,Metro Manila,City of Parañaque,"Asian Institute of Computer Studies-Bicutan, City of Parañaque",asian institute of computer studies-bicutan city of paranaque metro manila philippines,,14.4853621,121.0407112,google,"1571 Triangle Bldg., Doa Soledad Avenue, Better Living Subd, Parañaque, 1709 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Access Computer and Technical Colleges-Camarin,Private,Metro Manila,City of Caloocan,"Access Computer and Technical Colleges-Camarin, City of Caloocan",access computer and technical colleges-camarin city of caloocan metro manila philippines,"Access Computer and Technical Colleges-Camarin, City of Caloocan, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Datamex College of Saint Adeline-Valenzuela,Private,Metro Manila,City of Valenzuela,"Datamex College of Saint Adeline-Valenzuela, City of Valenzuela",datamex college of saint adeline-valenzuela city of valenzuela metro manila philippines,,14.6765648,120.9808094,google,"11, Gotaco Building 2, MacArthur Highway, Marulas, Gotaco, R-9, Valenzuela, 1440 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,School of Fashion and the Arts,Private,Metro Manila,City of Makati,"School of Fashion and the Arts, City of Makati",school of fashion and the arts city of makati metro manila philippines,"School of Fashion and the Arts, City of Makati, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,ICI Global University,Private,Metro Manila,City of Pasig,"ICI Global University, City of Pasig",ici global university city of pasig metro manila philippines,"ICI Global University, City of Pasig, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Southville International School,Private,Metro Manila,City of Las Piñas,"Southville International School, City of Las Piñas",southville international school city of las pinas metro manila philippines,,14.4550489,120.9950908,google,"1281 Tropical Avenue Corner Luxembourg Street, BF Homes International, Las Piñas, 1740 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Therese of the Child Jesus Institute of Arts and Sciences,Private,Metro Manila,Pasay City,"St. Therese of the Child Jesus Institute of Arts and Sciences, Pasay City",street. therese of the child jesus institute of arts and sciences pasay city metro manila philippines,"St. Therese of the Child Jesus Institute of Arts and Sciences, Pasay City, Metro Manila, Philippines",14.5558243,120.99664,google,"4th Flr Wardley Bldg. 1991 San Juan St, cor Taft Ave, Pasay City, 1300 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,Arellano University-Mandaluyong,Private,Metro Manila,City of Mandaluyong,"Arellano University-Mandaluyong, City of Mandaluyong",arellano university-mandaluyong city of mandaluyong metro manila philippines,"Arellano University-Mandaluyong, City of Mandaluyong, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,La Verdad Christian College-Caloocan,Private,Metro Manila,City of Caloocan,"La Verdad Christian College-Caloocan, City of Caloocan",la verdad christian college-caloocan city of caloocan metro manila philippines,,14.6577066,120.9966746,google,"351 Epifanio de los Santos Ave, Bagong Barrio West, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Rizal Technological University-Pasig,SUC,Metro Manila,City of Pasig,"Rizal Technological University-Pasig, City of Pasig",rizal technological university-pasig city of pasig metro manila philippines,,14.5730514,121.0999984,google,"Eusebio, Pasig, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Eclaro Academy,Private,Metro Manila,Quezon City,"Eclaro Academy, Quezon City",eclaro academy quezon city metro manila philippines,,14.6722182,121.0780047,google,"5 Zuzuarregui St, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asia Harvesters College and Seminary,Private,Metro Manila,Quezon City,"Asia Harvesters College and Seminary, Quezon City",asia harvesters college and seminary quezon city metro manila philippines,,14.680397,121.080759,google,"Puno Foundation Building , Holy Spirit Drive, Holy Spirit , 1127 Quezon City , Metro Manila, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Don Carlo Cavina School,Private,Metro Manila,City of Las Piñas,"Don Carlo Cavina School, City of Las Piñas",don carlo cavina school city of las pinas metro manila philippines,"Don Carlo Cavina School, City of Las Piñas, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Integrated Innovation and Hospitality Colleges,Private,Metro Manila,Quezon City,"Integrated Innovation and Hospitality Colleges, Quezon City",integrated innovation and hospitality colleges quezon city metro manila philippines,"Integrated Innovation and Hospitality Colleges, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Philippine School of Interior Design- AHLEN Institute,Private,Metro Manila,City of Taguig,"Philippine School of Interior Design- AHLEN Institute, City of Taguig",philippine school of interior design- ahlen institute city of taguig metro manila philippines,"Philippine School of Interior Design- AHLEN Institute, City of Taguig, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Recoletos School of Theology,Private,Metro Manila,Quezon City,"Recoletos School of Theology, Quezon City",recoletos school of theology quezon city metro manila philippines,,14.6783134,121.0608036,google,"M3H6+88F, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Dr. Jose Fabella Memorial Hospital School of Midwifery,OGS,Metro Manila,City of Manila,"Dr. Jose Fabella Memorial Hospital School of Midwifery, City of Manila",dr. jose fabella memorial hospital school of midwifery city of manila metro manila philippines,,14.606261,120.984188,google,"Dr.Jose Fabella Memorial Hospital, Lope de Vega St, 312, Sta.Cruz, 1003 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,CIIT College of Arts and Technology,Private,Metro Manila,Quezon City,"CIIT College of Arts and Technology, Quezon City",ciit college of arts and technology quezon city metro manila philippines,,14.6295232,121.0419378,google,"94 Kamuning Rd, Diliman, Quezon City, 1103 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Southeast Asia Christian College,Private,Metro Manila,City of Caloocan,"Southeast Asia Christian College, City of Caloocan",southeast asia christian college city of caloocan metro manila philippines,,14.6580637,120.9839909,google,"42 Monserrat St., MBS, 083 Caloocan City Metro Manila, Caloocan, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Datamex College of Saint Adeline-Parañaque,Private,Metro Manila,City of Parañaque,"Datamex College of Saint Adeline-Parañaque, City of Parañaque",datamex college of saint adeline-paranaque city of paranaque metro manila philippines,"Datamex College of Saint Adeline-Parañaque, City of Parañaque, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,FEU Institute of Technology,Private,Metro Manila,City of Manila,"FEU Institute of Technology, City of Manila",feu institute of technology city of manila metro manila philippines,,14.604119,120.9886247,google,"Padre Paredes St, Sampaloc, Manila, 1015 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Makati Science Technological Institute of the Philippines,Private,Metro Manila,City of Manila,"Makati Science Technological Institute of the Philippines, City of Manila",makati science technological institute of the philippines city of manila metro manila philippines,,14.600897,121.0127397,google,"4410 erl bldg, Mesa, Old Sta. Mesa St, Sampaloc, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Electron College of Technical Education,Private,Metro Manila,Quezon City,"Electron College of Technical Education, Quezon City",electron college of technical education quezon city metro manila philippines,,14.698849,121.034194,google,"Electron Tech. Bldg, 664 Quirino Hwy, Novaliches, Quezon City, 1116 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Marianum College,Private,Metro Manila,City of Muntinlupa,"Marianum College, City of Muntinlupa",marianum college city of muntinlupa metro manila philippines,,14.378704,121.0534014,google,"146-D Magallanes St, Muntinlupa, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Metropolitan Institute of Arts and Sciences,Private,Metro Manila,City of Caloocan,"Metropolitan Institute of Arts and Sciences, City of Caloocan",metropolitan institute of arts and sciences city of caloocan metro manila philippines,,14.7507731,121.0458083,google,"Q22W+883, Caloocan, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Sapphire International Aviation Academy,Private,Metro Manila,City of Parañaque,"Sapphire International Aviation Academy, City of Parañaque",sapphire international aviation academy city of paranaque metro manila philippines,,14.4702189,121.0099134,google,"8227 Dr. A. Santos Ave. Westmont Village San Isidro, Parañaque, 1700, F2C6+32W, Paranaque - Sucat Rd, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,FEU Alabang,Private,Metro Manila,City of Muntinlupa,"FEU Alabang, City of Muntinlupa",feu alabang city of muntinlupa metro manila philippines,,14.4106849,121.0378417,google,"Corporate Woods cor. South Corporate Avenues, C26Q+545 Wood District, Filinvest City, Muntinlupa, 1781 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,GK College of Business Arts and Technology,Private,Metro Manila,City of Mandaluyong,"GK College of Business Arts and Technology, City of Mandaluyong",gk college of business arts and technology city of mandaluyong metro manila philippines,,14.5763901,121.0404236,google,"677 Boni cor, Aliw, Mandaluyong City, 1550 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,NBS College,Private,Metro Manila,Quezon City,"NBS College, Quezon City",nbs college quezon city metro manila philippines,,14.6393057,121.0308294,google,"3rd & 4th floors, Sct. Borromeo corner Quezon Avenue, Diliman, Quezon City, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,St. Chamuel College,Private,Metro Manila,City of Taguig,"St. Chamuel College, City of Taguig",street. chamuel college city of taguig metro manila philippines,"St. Chamuel College, City of Taguig, Metro Manila, Philippines",14.5282586,121.0721552,google,"1639 Gen. Luna St, Taguig, 1639 Metro Manila, Philippines",FALLBACK_FULL|ROOFTOP
13 - Nat. Capital Region,College of Saint Amatiel,Private,Metro Manila,City of Malabon,"College of Saint Amatiel, City of Malabon",college of saint amatiel city of malabon metro manila philippines,"College of Saint Amatiel, City of Malabon, Metro Manila, Philippines",,,,,
