project_name,floor_area,price,bedrooms,bathrooms,condition,parking,price_per_sqm
The Calinea Tower,126,22000000.0,3,3,Unfurnished,0.0,174603.17460317462
The Calinea Tower,86,13025000.0,3,2,Unfurnished,0.0,151453.48837209304
The Calinea Tower,30,6007000.0,1,1,Unfurnished,0.0,200233.33333333334
The Calinea Tower,70,10938000.0,2,1,Unfurnished,0.0,156257.14285714287
The Calinea Tower,79,11700000.0,3,2,Unfurnished,0.0,148101.2658227848
Zinnia Towers,86,13984000.0,3,2,Unfurnished,0.0,162604.6511627907
The Calinea Tower,57,9932000.0,2,1,Unfurnished,0.0,174245.61403508772
The Calinea Tower,57,9877000.0,1,1,Unfurnished,0.0,173280.70175438595
The Calinea Tower,52,9744000.0,1,1,Unfurnished,0.0,187384.61538461538
The Calinea Tower,42,7294000.0,1,1,Partly furnished,0.0,173666.66666666666
The Calinea Tower,33,6309000.0,1,1,Unfurnished,0.0,191181.81818181818
The Calinea Tower,52,9744000.0,1,1,Unfurnished,0.0,187384.61538461538
The Calinea Tower,30,5855000.0,1,1,Unfurnished,0.0,195166.66666666666
Elevé Homes Camarin,81,1915000.0,3,2,Unfurnished,0.0,23641.975308641977
The Calinea Tower,52,9085000.0,2,1,Unfurnished,0.0,174711.53846153847
Torre De Florencia,22,3200000.0,1,1,Unfurnished,0.0,145454.54545454544
The Calinea Tower,83,12078000.0,3,2,Unfurnished,0.0,145518.07228915664
The Calinea Tower,57,8700000.0,2,1,Unfurnished,0.0,152631.57894736843
The Calinea Tower,97,14400000.0,3,2,Unfurnished,0.0,148453.60824742267
The Calinea Tower,97,14400000.0,3,2,Unfurnished,0.0,148453.60824742267
The Calinea Tower,52,9637000.0,1,1,Unfurnished,0.0,185326.92307692306
The Calinea Tower,79,12002000.0,3,2,Unfurnished,0.0,151924.05063291139
The Calinea Tower,97,11900000.0,3,2,Unfurnished,0.0,122680.41237113402
The Calinea Tower,97,11900000.0,3,2,Unfurnished,0.0,122680.41237113402
The Calinea Tower,57,8615000.0,2,1,Unfurnished,0.0,151140.35087719298
The Calinea Tower,52,8514000.0,2,1,Unfurnished,0.0,163730.76923076922
Aguada Residences,66,8793840.0,2,2,Unfurnished,0.0,133240.0
Torre De Florencia,21,3219000.0,1,1,Unfurnished,0.0,153285.7142857143
Torre De Florencia,36,5448000.0,1,1,Unfurnished,0.0,151333.33333333334
The Calinea Tower,64,9533000.0,2,1,Unfurnished,0.0,148953.125
The Calinea Tower,64,8933000.0,2,1,Unfurnished,0.0,139578.125
The Calinea Tower,57,8933000.0,2,1,Unfurnished,0.0,156719.29824561405
The Calinea Tower,57,9826000.0,1,1,Unfurnished,0.0,172385.9649122807
The Calinea Tower,77,11806000.0,2,1,Unfurnished,0.0,153324.67532467534
The Calinea Tower,86,12643000.0,3,2,Unfurnished,0.0,147011.62790697673
The Calinea Tower,64,9533000.0,2,1,Unfurnished,0.0,148953.125
Elevé Homes Camarin,23,1914000.0,1,1,Fully furnished,0.0,83217.39130434782
Satori Residences,97,12071700.0,3,2,Partly furnished,0.0,124450.51546391753
Satori Residences,79,10625400.0,3,2,Partly furnished,0.0,134498.7341772152
Satori Residences,62,8881200.0,2,1,Partly furnished,0.0,143245.16129032258
Satori Residences,52,8040600.0,2,1,Partly furnished,0.0,154626.92307692306
Satori Residences,82,11032200.0,2,1,Partly furnished,0.0,134539.0243902439
The Calinea Tower,67,7299000.0,2,1,Unfurnished,0.0,108940.29850746269
The Calinea Tower,68,6789000.0,2,1,Unfurnished,0.0,99838.23529411765
The Calinea Tower,68,6899000.0,2,1,Unfurnished,0.0,101455.88235294117
The Calinea Tower,68,7299000.0,2,1,Unfurnished,0.0,107338.23529411765
The Calinea Tower,68,6789000.0,2,1,Unfurnished,0.0,99838.23529411765
The Calinea Tower,67,6789000.0,2,1,Unfurnished,0.0,101328.35820895522
The Calinea Tower,68,6899000.0,2,1,Unfurnished,0.0,101455.88235294117
The Calinea Tower,68,7299000.0,2,1,Unfurnished,0.0,107338.23529411765
The Calinea Tower,68,6988000.0,2,1,Unfurnished,0.0,102764.70588235294
The Calinea Tower,56,8000000.0,2,1,Unfurnished,0.0,142857.14285714287
The Calinea Tower,30,5300000.0,1,1,Unfurnished,0.0,176666.66666666666
Victoria Sports Tower,25,3200000.0,1,1,Unfurnished,0.0,128000.0
The Calinea Tower,68,6988000.0,2,1,Unfurnished,0.0,102764.70588235294
The Calinea Tower,67,6789000.0,2,1,Unfurnished,0.0,101328.35820895522
The Oriana,30,6900000.0,2,1,Unfurnished,0.0,230000.0
Zinnia Towers,52,6631000.0,2,1,Unfurnished,0.0,127519.23076923077
The Calinea Tower,56,8000000.0,1,1,Unfurnished,0.0,142857.14285714287
The Calinea Tower,83,11600000.0,3,2,Unfurnished,0.0,139759.0361445783
The Calinea Tower,64,8700000.0,2,1,Unfurnished,0.0,135937.5
Studio A,56,8000000.0,1,1,Unfurnished,0.0,142857.14285714287
The Calinea Tower,30,5300000.0,1,1,Unfurnished,0.0,176666.66666666666
Zinnia Towers,52,6628151.0,2,1,Unfurnished,0.0,127464.44230769231
The Calinea Tower,83,11600000.0,3,2,Unfurnished,0.0,139759.0361445783
The Calinea Tower,64,8900000.0,2,1,Unfurnished,0.0,139062.5
The Calinea Tower,52,8900000.0,1,1,Unfurnished,0.0,171153.84615384616
The Calinea Tower,30,5500223.0,1,1,Unfurnished,0.0,183340.76666666666
Torre De Florencia,21,3219000.0,1,1,Unfurnished,0.0,153285.7142857143
Victoria Sports Tower,25,4000000.0,1,1,Unfurnished,0.0,160000.0
Victoria Sports Tower,25,2750009.0,1,1,Unfurnished,0.0,110000.36
Senta,50,5500000.0,2,2,Unfurnished,0.0,110000.0
Victoria Sports Tower,25,2750002.0,1,1,Unfurnished,0.0,110000.08
Heritage Homes Marilao,36,1600000.0,1,1,Partly furnished,0.0,44444.444444444445
Hacienda Balai,30,2800000.0,1,1,Unfurnished,0.0,93333.33333333333
Ohana Place,141,15000000.0,3,2,Fully furnished,1.0,106382.97872340426
Pacific Coast Residences,44,6200000.0,2,1,Unfurnished,0.0,140909.0909090909
South Residences,36,5800000.0,2,1,Partly furnished,0.0,161111.11111111112
Sonora Garden Residences,81,10200000.0,3,2,Unfurnished,0.0,125925.92592592593
Paseo Verde,28,3800000.0,1,1,Partly furnished,0.0,135714.2857142857
South 2 Residences,25,3600000.0,1,1,Unfurnished,0.0,144000.0
Sonora Garden Residences,81,10196000.0,3,2,Unfurnished,0.0,125876.54320987655
Sonora Garden Residences,81,10046000.0,3,2,Fully furnished,0.0,124024.69135802469
Sonora Garden Residences,56,7051000.0,2,1,Fully furnished,0.0,125910.71428571429
Sonora Garden Residences,28,4645000.0,1,1,Fully furnished,0.0,165892.85714285713
Sonora Garden Residences,28,4580000.0,1,1,Unfurnished,0.0,163571.42857142858
Sonora Garden Residences,28,4454000.0,1,1,Unfurnished,0.0,159071.42857142858
South Residences,36,6000000.0,2,1,Fully furnished,0.0,166666.66666666666
Amaia Steps Alabang,32,5500000.0,1,1,Unfurnished,0.0,171875.0
Sonora Garden Residences,58,6500000.0,2,1,Unfurnished,0.0,112068.96551724138
Sonora Garden Residences,81,4400000.0,3,2,Unfurnished,0.0,54320.98765432099
South 2 Residences,25,4303000.0,1,1,Unfurnished,0.0,172120.0
South 2 Residences,25,4303000.0,1,1,Unfurnished,0.0,172120.0
Amaia Steps Alabang,32,5400000.0,1,1,Partly furnished,0.0,168750.0
One Premier,79,10600000.0,3,3,Partly furnished,0.0,134177.21518987342
Ohana Place,36,6200000.0,2,1,Fully furnished,1.0,172222.22222222222
Maricielo Villas,78,6000000.0,3,2,Fully furnished,0.0,76923.07692307692
Viento at Cerca,24,7597000.0,1,1,Unfurnished,0.0,316541.6666666667
Sonora Garden Residences,58,6462414.0,2,1,Partly furnished,0.0,111420.93103448275
South Residences,23,3600000.0,1,1,Fully furnished,0.0,156521.73913043478
Sonora Garden Residences,58,6700000.0,2,1,Unfurnished,0.0,115517.24137931035
Paseo Verde at Real,36,4200000.0,1,1,Unfurnished,0.0,116666.66666666667
South Residences,36,4100000.0,2,2,Unfurnished,0.0,113888.88888888889
Park One,19,3317174.0,1,1,Unfurnished,0.0,174588.1052631579
Sonora Garden Residences,56,6176800.0,2,1,Unfurnished,0.0,110300.0
Sonora Garden Residences,54,6143500.0,2,1,Unfurnished,0.0,113768.51851851853
Sonora Garden Residences,58,6578900.0,2,1,Unfurnished,0.0,113429.31034482758
Sonora Garden Residences,58,6326500.0,2,1,Unfurnished,0.0,109077.58620689655
Sonora Garden Residences,56,6535200.0,2,1,Unfurnished,0.0,116700.0
Sonora Garden Residences,26,4132500.0,2,1,Unfurnished,0.0,158942.3076923077
Sonora Garden Residences,81,9011700.0,3,2,Unfurnished,0.0,111255.55555555556
Sonora Garden Residences,28,4226700.0,1,1,Unfurnished,0.0,150953.57142857142
Sonora Garden Residences,58,6326500.0,2,1,Unfurnished,0.0,109077.58620689655
Sonora Garden Residences,56,6355800.0,2,1,Unfurnished,0.0,113496.42857142857
Sonora Garden Residences,28,4226500.0,1,1,Unfurnished,0.0,150946.42857142858
Sonora Garden Residences,60,6545700.0,2,1,Unfurnished,0.0,109095.0
Sonora Garden Residences,58,6547300.0,2,1,Unfurnished,0.0,112884.4827586207
South Residences,25,3600000.0,1,1,Unfurnished,0.0,144000.0
Sonora Garden Residences,28,4706000.0,1,1,Partly furnished,0.0,168071.42857142858
Sonora Garden Residences,81,8997300.0,3,2,Unfurnished,0.0,111077.77777777778
Twin Residences,24,4000000.0,1,1,Unfurnished,0.0,166666.66666666666
Sonora Garden Residences,81,8997300.0,3,2,Unfurnished,0.0,111077.77777777778
Sonora Garden Residences,58,6326108.0,2,1,Unfurnished,0.0,109070.8275862069
Sonora Garden Residences,56,6355800.0,2,1,Unfurnished,0.0,113496.42857142857
Sonora Garden Residences,56,5873800.0,2,1,Unfurnished,0.0,104889.28571428571
Sonora Garden Residences,28,4408000.0,1,1,Unfurnished,0.0,157428.57142857142
Sonora Garden Residences,28,4242800.0,1,1,Unfurnished,0.0,151528.57142857142
Sonora Garden Residences,56,5868000.0,2,1,Unfurnished,0.0,104785.71428571429
Sonora Garden Residences,56,5989000.0,2,1,Unfurnished,0.0,106946.42857142857
Sonora Garden Residences,56,5800000.0,2,1,Unfurnished,0.0,103571.42857142857
Sonora Garden Residences,56,6188000.0,2,1,Unfurnished,0.0,110500.0
Sonora Garden Residences,56,6451200.0,2,1,Unfurnished,0.0,115200.0
Sonora Garden Residences,56,6129900.0,2,1,Unfurnished,0.0,109462.5
Sonora Garden Residences,56,6128000.0,2,1,Unfurnished,0.0,109428.57142857143
Sonora Garden Residences,58,6059800.0,2,1,Unfurnished,0.0,104479.31034482758
Sonora Garden Residences,58,6205500.0,2,1,Unfurnished,0.0,106991.37931034483
Sonora Garden Residences,56,6326100.0,2,1,Unfurnished,0.0,112966.07142857143
Sonora Garden Residences,56,6355800.0,2,1,Unfurnished,0.0,113496.42857142857
Sonora Garden Residences,56,5873400.0,2,1,Unfurnished,0.0,104882.14285714286
Sonora Garden Residences,28,4010400.0,1,1,Unfurnished,0.0,143228.57142857142
Sonora Garden Residences,28,4195800.0,1,1,Unfurnished,0.0,149850.0
Sonora Garden Residences,28,4332600.0,1,1,Unfurnished,0.0,154735.7142857143
Sonora Garden Residences,28,4407300.0,1,1,Unfurnished,0.0,157403.57142857142
Sonora Garden Residences,28,4467600.0,1,1,Unfurnished,0.0,159557.14285714287
Sonora Garden Residences,28,4321800.0,1,1,Unfurnished,0.0,154350.0
Sonora Garden Residences,28,4242800.0,1,1,Unfurnished,0.0,151528.57142857142
Park One,21,3651025.0,1,1,Partly furnished,0.0,173858.33333333334
Park One,32,6205845.0,1,1,Partly furnished,0.0,193932.65625
Senta,60,17633140.0,1,1,Unfurnished,1.0,293885.6666666667
Sonora Garden Residences,81,9222300.0,3,2,Unfurnished,0.0,113855.55555555556
Sonora Garden Residences,81,9145800.0,3,2,Unfurnished,0.0,112911.11111111111
Sonora Garden Residences,81,8997300.0,3,2,Unfurnished,0.0,111077.77777777778
Sonora Garden Residences,56,6249600.0,2,1,Unfurnished,0.0,111600.0
Sonora Garden Residences,58,6059700.0,2,1,Unfurnished,0.0,104477.58620689655
Sonora Garden Residences,56,5938000.0,2,1,Unfurnished,0.0,106035.71428571429
Sonora Garden Residences,56,6355800.0,2,1,Unfurnished,0.0,113496.42857142857
Sonora Garden Residences,28,4376700.0,1,1,Unfurnished,0.0,156310.7142857143
Sonora Garden Residences,28,4235400.0,1,1,Unfurnished,0.0,151264.2857142857
Sonora Garden Residences,28,4242600.0,1,1,Unfurnished,0.0,151521.42857142858
Twin Residences,25,4920120.0,1,1,Unfurnished,0.0,196804.8
Maricielo Villas,106,8711200.0,4,2,Partly furnished,0.0,82181.1320754717
Sonora Garden Residences,81,9997000.0,3,2,Unfurnished,0.0,123419.75308641975
Sonora Garden Residences,56,6598000.0,2,1,Unfurnished,0.0,117821.42857142857
South 2 Residences,39,1640848.0,2,1,Partly furnished,0.0,42073.02564102564
South 2 Residences,25,1530235.0,1,1,Partly furnished,0.0,61209.4
Maricielo Villas,51,2999998.0,2,1,Unfurnished,0.0,58823.490196078434
South Residences,36,6000000.0,2,1,Unfurnished,1.0,166666.66666666666
Sonora Garden Residences,28,4706000.0,1,1,Unfurnished,0.0,168071.42857142858
Maricielo Villas,78,6838000.0,3,2,Partly furnished,0.0,87666.66666666667
Maricielo Villas,61,6181000.0,2,1,Partly furnished,0.0,101327.86885245901
Maricielo Villas,53,5286000.0,2,1,Partly furnished,0.0,99735.84905660378
Viento at Cerca,24,6000000.0,1,1,Unfurnished,0.0,250000.0
Sonora Garden Residences,65,7249500.0,2,1,Unfurnished,0.0,111530.76923076923
Sonora Garden Residences,58,7077600.0,2,1,Unfurnished,0.0,122027.58620689655
Sonora Garden Residences,56,6935400.0,2,1,Unfurnished,0.0,123846.42857142857
Sonora Garden Residences,28,4242600.0,1,1,Unfurnished,0.0,151521.42857142858
South 2 Residences,26,3719600.0,1,1,Unfurnished,0.0,143061.53846153847
Amaia Steps Alabang,32,5500000.0,1,1,Unfurnished,1.0,171875.0
