line,station,station_name,address,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
LRT-2,V. Mapa,V. Mapa,"Santa Mesa Blvd, Santa Mesa, Manila, Metro Manila","V. Mapa, Santa Mesa Blvd, Santa Mesa, Manila, Metro Manila",v. mapa santa mesa boulevard santa mesa manila metro manila metro manila philippines,,14.6028763,121.0159447,google,"Victorino Mapa St & Santa Mesa Blvd, Santa Mesa, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
LRT-2,J. Ruiz,LRT-2 J. Ruiz Station,"San Juan City, Metro Manila","LRT-2 J. Ruiz Station, San Juan City, Metro Manila",lrt-2 j. ruiz station san juan city metro manila metro manila philippines,,14.6105536,121.0262084,google,"J. Ruiz Station, San Juan City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
LRT-2,Gilmore,Gilmore Station,"Quezon City, Metro Manila","Gilmore Station, Quezon City, Metro Manila",gilmore station quezon city metro manila metro manila philippines,,14.6135308,121.0341755,google,"Gilmore Station, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
LRT-2,Betty Go–Belmonte,LRT 2 - BettyGo Belmonte Station - Quezon City,"768 Aurora Blvd, Quezon City, 1111 Metro Manila","LRT 2 - BettyGo Belmonte Station - Quezon City, 768 Aurora Blvd, Quezon City, 1111 Metro Manila",lrt 2 - bettygo belmonte station - quezon city 768 aurora boulevard quezon city 1111 metro manila metro manila philippines,,14.6185207,121.042706,google,"768 Aurora Blvd, Quezon City, 1111 Metro Manila, Philippines",CLEANED|ROOFTOP
LRT-2,Cubao,Cubao LRT-2 Station,"70 Aurora Blvd, Quezon City, 1102 Metro Manila","Cubao LRT-2 Station, 70 Aurora Blvd, Quezon City, 1102 Metro Manila",cubao lrt-2 station 70 aurora boulevard quezon city 1102 metro manila metro manila philippines,,14.6226856,121.052612,google,"70 Aurora Blvd, Quezon City, 1102 Metro Manila, Philippines",CLEANED|ROOFTOP
LRT-2,Anonas,LRT-2 Anonas Station,"Aurora Blvd, Project 3, Quezon City, Metro Manila","LRT-2 Anonas Station, Aurora Blvd, Project 3, Quezon City, Metro Manila",lrt-2 anonas station aurora boulevard project 3 quezon city metro manila metro manila philippines,,14.6279459,121.0647051,google,"Aurora Blvd, Project 3, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
LRT-2,Katipunan,LRT 2 - Katipunan Station - Quezon City,"977 Aurora Blvd, Project 3, Quezon City, 1109 Metro Manila","LRT 2 - Katipunan Station - Quezon City, 977 Aurora Blvd, Project 3, Quezon City, 1109 Metro Manila",lrt 2 - katipunan station - quezon city 977 aurora boulevard project 3 quezon city 1109 metro manila metro manila philippines,,14.6311071,121.0725019,google,"977 Aurora Blvd, Project 3, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
LRT-2,Santolan,BPI LRT 2 Santolan Station ATM,"LRT Santolan Station, Quezon City, Quezon City, Metro Manila","BPI LRT 2 Santolan Station ATM, LRT Santolan Station, Quezon City, Quezon City, Metro Manila",bpi lrt 2 santolan station atm lrt santolan station quezon city quezon city metro manila metro manila philippines,,14.62204,121.08604,google,"LRT Santolan Station, Quezon City, Quezon City, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
LRT-2,Marikina-Pasig,LRT 2 - Marikina–Pasig Station,"1800 Marikina-Infanta Hwy, Marikina, 1800 Metro Manila","LRT 2 - Marikina–Pasig Station, 1800 Marikina-Infanta Hwy, Marikina, 1800 Metro Manila",lrt 2 - marikina–pasig station 1800 marikina-infanta hwy marikina 1800 metro manila metro manila philippines,,14.6203868,121.1002749,google,"1800 Marikina-Infanta Hwy, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
LRT-2,Antipolo,SM City Masinag,"SM City, Infanta Hwy, Masinag, Antipolo City, 1870 Rizal","SM City Masinag, SM City, Infanta Hwy, Masinag, Antipolo City, 1870 Rizal",sm city masinag sm city infanta hwy masinag antipolo city 1870 rizal metro manila philippines,"SM City Masinag, SM City, Infanta Hwy, Masinag, Antipolo City, 1870 Rizal, Metro Manila, Philippines",,,,,
PNR,Tutuban,Tutuban Station Parking,"JX6F+98C, Tondo, Manila, Metro Manila","Tutuban Station Parking, JX6F+98C, Tondo, Manila, Metro Manila",tutuban station parking jx6f+98c tondo manila metro manila metro manila philippines,,14.6109376,120.9732774,google,"JX6F+98C, Tondo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PNR,Blumentritt,PNR Blumentritt Station,"1606 Antipolo St, Santa Cruz, Manila, 1014 Metro Manila","PNR Blumentritt Station, 1606 Antipolo St, Santa Cruz, Manila, 1014 Metro Manila",pnr blumentritt station 1606 antipolo street santa cruz manila 1014 metro manila metro manila philippines,,14.6226051,120.9836182,google,"1606 Antipolo St, Santa Cruz, Manila, 1014 Metro Manila, Philippines",CLEANED|ROOFTOP
PNR,Pandacan,PNR Pandacan Station,"Tomos Claudio, Pandacan, Manila, 1011 Metro Manila","PNR Pandacan Station, Tomos Claudio, Pandacan, Manila, 1011 Metro Manila",pnr pandacan station tomos claudio pandacan manila 1011 metro manila metro manila philippines,,14.59024,121.0088,google,"Pandacan, Tomos Claudio, Pandacan, Manila, 1011 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PNR,Paco,Paco PNR Station,"HXHX+QQV, C-2, Paco, Manila, Metro Manila","Paco PNR Station, HXHX+QQV, C-2, Paco, Manila, Metro Manila",paco pnr station hxhx+qqv c-2 paco manila metro manila metro manila philippines,,14.579495,120.9994071,google,"HXHX+QQV, C-2, Paco, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PNR,San Andres,PNR San Andres Station,"Aviadores, San Andres Bukid, Manila, Metro Manila","PNR San Andres Station, Aviadores, San Andres Bukid, Manila, Metro Manila",pnr san andres station aviadores san andres bukid manila metro manila metro manila philippines,,14.5732462,120.9994465,google,"PNR San Andres Station, Aviadores, San Andres Bukid, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
PNR,Vito Cruz,PNR Vito Cruz Station,"P.Ocampo St., San Andres, Manila, Metro Manila","PNR Vito Cruz Station, P.Ocampo St., San Andres, Manila, Metro Manila",pnr vito cruz station p.ocampo street. san andres manila metro manila metro manila philippines,,14.5672048,121.0028396,google,"Vito Cruz, P.Ocampo St., San Andres, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
