title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
"For Sale 2 Bedroom in Edades West, Makati City",EDADES TOWER AND GARDEN VILLAS,EDADES TOWER AND GARDEN VILLAS,130 sqm,130 sqm,"₱ 88,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/edades-tower-and-garden-villas/,Line Development Corp
"3 Bedroom In Kirov Tower of Proscenium, Makati City For Sale",Proscenium at Rockwell,Proscenium at Rockwell,224 sqm,224 sqm,"₱ 89,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,Unfurnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Line Development Corp
"For Sale 22sqm Studio Unit in Eton Tower Makati,Legazpi Village",Eton Tower Makati,Eton Tower Makati,22 sqm,22 sqm,"₱ 6,200,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,Fully furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/eton-tower-makati/,Line Development Corp
"For Sale 40 sqm Studio Unit in One Legazpi Park, Makati City",One Legazpi Park,One Legazpi Park,40 sqm,40 sqm,"₱ 10,000,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,Fully furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/one-legazpi-park/,Line Development Corp
"For Sale: The Rise Makati, 2 Bedroom Semi-Furnished Unit",The Rise Makati,The Rise Makati,75 sqm,75 sqm,"₱ 15,000,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-rise-makati/,Line Development Corp
"For Sale 3BR Unit in The Salcedo Park Tower B,Bel-Air, Makati",The Salcedo Park,The Salcedo Park,180 sqm,180 sqm,"₱ 32,000,000","Bel-Air, Makati",3 bedrooms,3 bathrooms,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/the-salcedo-park/,Line Development Corp
"Fully furnished Studio Condo Unit in Park Terraces, Makati For Sale",Park Terraces,Park Terraces,37 sqm,37 sqm,"₱ 15,000,000","Makati, Metro Manila",1 bedroom,,,Fully furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/park-terraces/,Line Development Corp
"70 sqm 1BR with Balcony For Sale in Park Terraces Point Tower, Makati City",Park Terraces,Park Terraces,70 sqm,70 sqm,"₱ 23,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/park-terraces/,Line Development Corp
"1BR Condo Unit for Sale in Park Terraces Tower 1, Makati City",Park Terraces,Park Terraces,77 sqm,77 sqm,"₱ 25,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/park-terraces/,Line Development Corp
"Fully furnished 69sqm 1BR Park Terraces, Makati near TRAG, Garden Residences",Park Terraces,Park Terraces,69 sqm,69 sqm,"₱ 25,800,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/park-terraces/,Line Development Corp
"Fully furnished 1BR Park Terraces, Makati near TRAG, Garden Residences",Park Terraces,Park Terraces,77 sqm,77 sqm,"₱ 25,800,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/park-terraces/,Line Development Corp
"For Sale! 1BR Unit in Lincoln Tower, Proscenium, Rockwell Makati",Proscenium at Rockwell,Proscenium at Rockwell,64 sqm,64 sqm,"₱ 22,000,000","Guadalupe Viejo, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Line Development Corp
For Sale: Big studio unit at Three Central in Salcedo Village Makati City,Three Central,Three Central,42 sqm,42 sqm,"₱ 9,800,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Studio,For Sale,,1,,https://www.lamudi.com.ph/projects/three-central/,Line Development Corp
