REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS
13 - Nat. Capital Region,Our Lady of the Angels Seminary,Private,Metro Manila,Quezon City,"Our Lady of the Angels Seminary, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,PACE Graduate School of Christian Education,Private,Metro Manila,Quezon City,"PACE Graduate School of Christian Education, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Maynila,LUC,Metro Manila,Manila,"Pamantasan ng Lungsod ng Maynila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,City University of Pasay,LUC,Metro Manila,Pasay,"City University of Pasay, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,University of Makati,LUC,Metro Manila,Taguig,"University of Makati, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,Pasig Catholic College,Private,Metro Manila,Pasig,"Pasig Catholic College, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,PATTS College of Aeronautics,Private,Metro Manila,Parañaque,"PATTS College of Aeronautics, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Perpetual Help College of Manila,Private,Metro Manila,Manila,"Perpetual Help College of Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,University of Perpetual Help System Dalta,Private,Metro Manila,Las Piñas,"University of Perpetual Help System Dalta, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Dominican Center of Institutional Studies,Private,Metro Manila,Quezon City,"Philippine Dominican Center of Institutional Studies, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Christian University,Private,Metro Manila,Manila,"Philippine Christian University, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine College of Criminology,Private,Metro Manila,Manila,"Philippine College of Criminology, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine College of Health Sciences,Private,Metro Manila,Manila,"Philippine College of Health Sciences, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Louis College-Valenzuela,Private,Metro Manila,Valenzuela,"St. Louis College-Valenzuela, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Law School,Private,Metro Manila,,
13 - Nat. Capital Region,Philippine Merchant Marine School-Manila,Private,Metro Manila,Manila,"Philippine Merchant Marine School-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Merchant Marine School-Las Piñas,Private,Metro Manila,Las Piñas,"Philippine Merchant Marine School-Las Piñas, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Normal University-Main,SUC,Metro Manila,Manila,"Philippine Normal University-Main, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine School of Business Administration-Quezon City,Private,Metro Manila,Quezon City,"Philippine School of Business Administration-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine School of Business Administration-Manila,Private,Metro Manila,Manila,"Philippine School of Business Administration-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine State College of Aeronautics-Main,SUC,Metro Manila,Pasay,"Philippine State College of Aeronautics-Main, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,The Philippine Women's University-Manila,Private,Metro Manila,Manila,"The Philippine Women's University-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,PHILSIN College Foundation,Private,Metro Manila,Manila,"PHILSIN College Foundation, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,PMI Colleges-Manila,Private,Metro Manila,Manila,"PMI Colleges-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,PMI Colleges-Quezon City,Private,Metro Manila,Quezon City,"PMI Colleges-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Polytechnic University of the Philippines,SUC,Metro Manila,Manila,"Polytechnic University of the Philippines, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Polytechnic University of the Philippines-San Juan Campus,SUC,Metro Manila,San Juan,"Polytechnic University of the Philippines-San Juan Campus, San Juan, Metro Manila, Philippines"
13 - Nat. Capital Region,Polytechnic University of the Philippines-Parañaque Campus,SUC,Metro Manila,Parañaque,"Polytechnic University of the Philippines-Parañaque Campus, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Polytechnic University of the Philippines-Taguig,SUC,Metro Manila,Taguig,"Polytechnic University of the Philippines-Taguig, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,World Citi Colleges-Quezon City,Private,Metro Manila,Quezon City,"World Citi Colleges-Quezon City, Quezon City, Metro Manila, Philippines"
